Team,ELO
Gen.G,2016.6966679740008
T1,1932.3488999254903
Beijing JDG Intel Esports Club,1872.2282584850327
DetonatioN FocusMe,1802.3796299121057
kt Rolster,1791.6375220008874
PSG Talon,1760.2317402577603
Cloud9,1759.10985048803
Hanwha Life Esports,1707.5915914020577
LOUD,1706.6837015695385
TOP ESPORTS,1694.806347849746
MAD Lions,1668.6663125482382
Dplus Kia,1639.9021047206386
GAM Esports,1633.856502319192
Royal Never Give Up,1629.4490660313718
Frank Esports,1607.3032162268014
CTBC Flying Oyster,1604.8188330159064
Golden Guardians,1599.6458772550643
DenizBank İstanbul Wildcats,1584.1829533962623
Liiv SANDBOX,1583.1110321760063
Kwangdong Freecs,1574.548478758172
paiN Gaming,1559.9166703322833
Sengoku Gaming,1557.4843883080573
Team BDS,1546.4513763993325
Deep Cross Gaming,1540.2629023077989
SBTC ESPORTS,1527.9315050001633
Fukuoka SoftBank HAWKS gaming,1520.3697494190133
SHANGHAI EDWARD GAMING HYCAN,1517.1905130591574
Los Grandes,1511.4873164046542
Six Karma,1507.2044400714371
Beyond Gaming,1504.7926060334757
FlyQuest,1504.6222827542665
FURIA,1487.407457858889
Impunity Esports,1484.0767737216552
Movistar R7,1482.0603727608966
G2 Esports,1479.975039830966
Pentanet.GG,1479.109474621238
The Chiefs,1460.7905570652765
RED Kalunga,1460.5169636413282
Misfits Gaming,1457.5742732942615
Estral Esports,1457.1553625476372
TEAM WHALES,1453.1046871252256
J Team,1451.153891388254
DRX,1438.598249334609
Fenerbahçe Espor,1436.9801172556213
INFINITY,1436.5810923150084
Evil Geniuses LG,1436.5280564539974
Saigon Buffalo Esports,1429.7085242763249
FUT ESPORTS,1429.4288389390874
Team Vitality,1425.219247196776
Team Liquid Honda,1420.8018926032626
NongShim REDFORCE,1419.921872502918
ORDER,1416.9361780838117
100 Thieves,1415.316424624573
Isurus,1411.2060056627713
NASR ESPORTS,1409.5716385683425
FLUXO,1399.5676345822133
KaBuM! Esports,1398.8180405854234
CERBERUS ESPORTS,1387.954351762122
Dire Wolves,1386.8695396906514
Team Bliss,1384.4541420513715
FENNEL,1383.8906379001846
TSM,1378.7981010883436
CLG,1376.6735517293364
KOI,1374.4676324889851
Galatasaray Espor,1360.7284452267436
Papara SuperMassive,1357.301669608521
Vivo Keyd Stars,1339.8039544878
Hell Pigs,1336.8300470633958
Team Flash,1336.4260508743678
Fnatic,1325.154512656702
Dark Passage,1324.7573759573727
OKSavingsBank BRION,1323.3917659436484
Rascal Jester,1322.2616566255408
Beşiktaş,1320.9019344278138
PEACE,1312.8738048602363
Astralis,1308.842286729668
Ground Zero,1307.087382409391
Miners,1300.1765687089205
Liberty,1299.897799336405
The Kings,1296.4060135531054
INTZ,1289.24308992551
XTEN Esports,1284.8848233172891
Flamengo ,1279.4706889787883
Team Secret,1278.5804799454652
SK Gaming,1268.0517117213856
Burning Core,1267.4827982647173
Team Heretics,1267.0703145805537
Incubus,1265.727079920765
West Point Esports,1260.0679303649054
Meta Falcon Team,1258.1833981016007
All Knights,1245.4542399662075
Immortals Progressive,1244.8625580427145
Kanga Esports,1227.6886654107868
AXIZ,1227.602959954469
Info Yatırım Aurora,1222.86744900706
Team Aze,1192.4779479830715
Dignitas,1186.8089275602213
Dewish Team,1183.63628746553
Hurricane Gaming,1183.2171003298872
EXCEL,1181.888562158815
MGN Box Esports,1176.965305631297
GALAKTICOS,1171.9043251727403
Globant Emerald Team,1168.8102190039403
RENSGA,1148.7364536175712
Crest Gaming Act,1144.3278448347426
MAMMOTH,1122.2825722983423
SEM9,1079.4764766701744
5 Ronin,1032.01476521153
Gravitas,1016.2456194530992
V3 Esports,982.999176683885
