Team,ELO
Beijing JDG Intel Esports Club,2046.8577886013984
Gen.G,2012.464275432624
Suzhou LNG Esports,1919.9164734180035
kt Rolster,1860.0579421116825
T1,1797.700384038097
WeiboGaming FAW AUDI,1791.2709826772032
PSG Talon,1783.7383315561797
Bilibili Gaming Pingan Bank,1776.9631674056816
G2 Esports,1758.834655428784
DetonatioN FocusMe,1705.8893804033885
LOUD,1697.1727279788283
Hanwha Life Esports,1689.8250085141908
CTBC Flying Oyster,1686.7133742561714
DenizBank İstanbul Wildcats,1672.235368168874
Beyond Gaming,1665.6980758161205
NRG,1648.0566178067927
Movistar R7,1646.124131875014
FunPlus Phoenix,1645.733235922413
TOP ESPORTS,1643.4549312778274
Invictus Gaming,1639.248068541459
SHANGHAI EDWARD GAMING HYCAN,1623.566433427866
paiN Gaming,1623.2386883163847
Frank Esports,1605.1171106209215
THUNDER TALK GAMING,1602.1730921279282
Cloud9,1600.0276384698373
Fukuoka SoftBank HAWKS gaming,1593.1048815668107
Dplus Kia,1571.8001024781156
Oh My God,1565.1411365100564
GAM Esports,1551.011035851222
RED Kalunga,1540.2374892349576
EXCEL,1540.114852109932
Deep Cross Gaming,1529.2477867832765
Shenzhen NINJAS IN PYJAMAS,1523.1408735526516
Golden Guardians,1519.6038602064507
J Team,1515.7281882497145
DRX,1511.7619724505337
NongShim REDFORCE,1511.665790927162
OKSavingsBank BRION,1510.5199514108008
Royal Never Give Up,1508.3309203182312
Liiv SANDBOX,1503.5796097482803
SBTC ESPORTS,1498.855182247318
Estral Esports,1498.741850246523
Sengoku Gaming,1498.453243192021
Team Liquid Honda,1494.345751716226
Six Karma,1479.652730422904
The Chiefs,1468.474741313822
Team Secret,1465.9295723345886
Fnatic,1458.114270121246
Misfits Gaming,1457.5742732942615
NASR ESPORTS,1451.6747300864631
FLUXO,1441.4745401074968
Fenerbahçe Espor,1436.9801172556213
Team Bliss,1433.3460555919382
INTZ,1431.6971488623612
FUT ESPORTS,1422.560794160008
INFINITY,1421.5374856215308
Ultra Prime,1420.347566771585
ORDER,1416.9361780838117
Vivo Keyd Stars,1416.047435606939
FURIA,1414.078166366942
TEAM WHALES,1409.5926392117426
Pentanet.GG,1405.3236741659796
Team Heretics,1404.3405127643553
Isurus,1402.9720272791042
Xi'an Team WE,1400.7433472551952
FlyQuest,1397.6394824484053
Saigon Buffalo Esports,1394.860617332845
Los Grandes,1385.770733140898
FENNEL,1378.606374392545
CLG,1376.6735517293364
Anyone's Legend,1373.5425548016854
Evil Geniuses LG,1370.734305061661
Galatasaray Espor,1360.7284452267436
LGD GAMING,1354.320620262909
Team BDS,1354.1624823880493
Hell Pigs,1350.6021308123045
SK Gaming,1343.1153461502736
CERBERUS ESPORTS,1337.0890439107347
West Point Esports,1336.631209317399
Papara SuperMassive,1333.2141583819598
Eternal Fire,1332.666302353462
Dire Wolves,1329.126416162988
MAMMOTH,1323.4988329066332
Rascal Jester,1322.2616566255408
PEACE,1312.8738048602363
TSM,1312.518476356092
Rare Atom,1300.844703187072
Miners,1300.1765687089205
The Kings,1296.4060135531054
100 Thieves,1289.5053072507376
Dignitas,1289.006318151129
Immortals Progressive,1287.800496284705
XTEN Esports,1284.8848233172891
Dark Passage,1281.995911576985
Team Flash,1281.6095790273278
Flamengo ,1279.4706889787883
Astralis,1275.5349057927
KOI,1275.1572114616206
Beşiktaş,1271.2126941146498
Incubus,1265.727079920765
Meta Falcon Team,1258.1833981016007
Vertex ESC,1243.8551777360883
AXIZ,1243.4122762871843
Impunity Esports,1238.8306010745723
Burning Core,1237.9301502166586
MAD Lions,1232.9726965072275
Team Aze,1229.6123026587316
Kwangdong Freecs,1224.8342254732886
Info Yatırım Aurora,1222.86744900706
Team Vitality,1220.7109809588455
KaBuM! Esports,1213.2708074857212
Liberty,1212.0818113916891
Leviatán Esports,1185.7452584559437
Hurricane Gaming,1183.2171003298872
GALAKTICOS,1182.488777227738
MGN Box Esports,1177.7364207072508
Ground Zero,1172.7295341623671
All Knights,1170.46350946377
Globant Emerald Team,1168.8102190039403
Crest Gaming Act,1152.019396640527
RENSGA,1148.7364536175712
Kanga Esports,1125.0306606433296
Dewish Team,1119.4039684986783
SEM9,1079.4764766701744
5 Ronin,1032.01476521153
Gravitas,1016.2456194530992
V3 Esports,960.490747395178
