Team,ELO
Gen.G,2016.6966679740008
T1,1932.3488999254903
Beijing JDG Intel Esports Club,1872.2282584850327
DetonatioN FocusMe,1851.8287697278856
kt Rolster,1791.6375220008874
Hanwha Life Esports,1707.5915914020577
LOUD,1706.6837015695385
TOP ESPORTS,1694.806347849746
G2 Esports,1674.5730212917788
PSG Talon,1643.7752206218895
Dplus Kia,1639.9021047206386
CTBC Flying Oyster,1635.0839356594536
Royal Never Give Up,1629.4490660313718
Team Liquid Honda,1595.773102129546
Liiv SANDBOX,1583.1110321760063
Saigon Buffalo Esports,1580.016735542507
Kwangdong Freecs,1574.548478758172
paiN Gaming,1559.9166703322833
Deep Cross Gaming,1553.9140672047563
Cloud9,1551.0014485830218
The Chiefs,1548.273049310826
GAM Esports,1544.5106713916505
NASR ESPORTS,1540.440332912145
Beyond Gaming,1536.6249670221662
100 Thieves,1535.05718507092
Sengoku Gaming,1533.71081602866
Estral Esports,1530.0234439536653
SHANGHAI EDWARD GAMING HYCAN,1517.1905130591574
Los Grandes,1511.4873164046542
Evil Geniuses LG,1510.6125629668754
Team Bliss,1499.7357628898787
MAD Lions,1493.3527965835842
J Team,1492.5968704312986
FURIA,1487.407457858889
Pentanet.GG,1479.109474621238
SK Gaming,1477.382534436451
CLG,1470.6465863905266
Isurus,1469.9095679468817
RED Kalunga,1460.5169636413282
Misfits Gaming,1457.5742732942615
TSM,1454.6526786674071
DenizBank İstanbul Wildcats,1453.4804625423574
Fukuoka SoftBank HAWKS gaming,1447.176612227068
DRX,1438.598249334609
Fenerbahçe Espor,1436.9801172556213
Frank Esports,1430.9967841411371
KOI,1420.1839441434065
NongShim REDFORCE,1419.921872502918
ORDER,1416.9361780838117
FLUXO,1399.5676345822133
KaBuM! Esports,1398.8180405854234
FlyQuest,1392.0564368926437
Team Aze,1387.5816397180754
Dire Wolves,1386.8695396906514
Dark Passage,1364.211326872906
Galatasaray Espor,1360.7284452267436
Team Vitality,1360.5532363924729
Movistar R7,1358.5246176972769
The Kings,1350.8224699503749
Team Heretics,1345.2780043358462
Papara SuperMassive,1341.1516281017225
Vivo Keyd Stars,1339.8039544878
INFINITY,1338.648923623298
Astralis,1329.3016617289577
Golden Guardians,1324.2876172679476
OKSavingsBank BRION,1323.3917659436484
Rascal Jester,1322.2616566255408
PEACE,1312.8738048602363
Ground Zero,1307.087382409391
Beşiktaş,1300.2108185725256
Miners,1300.1765687089205
Liberty,1299.897799336405
INTZ,1289.24308992551
XTEN Esports,1284.8848233172891
Team BDS,1284.2295514604405
Flamengo ,1279.4706889787883
Incubus,1265.727079920765
Burning Core,1261.5281924751737
Meta Falcon Team,1258.1833981016007
Crest Gaming Act,1249.1991938760875
Immortals Progressive,1248.718523260565
Fnatic,1244.6011118132287
All Knights,1243.034811970563
Dignitas,1240.361381370356
Impunity Esports,1238.8667657691142
Kanga Esports,1227.6886654107868
Info Yatırım Aurora,1222.86744900706
EXCEL,1216.331134125256
Dewish Team,1198.5515039116112
GALAKTICOS,1194.8080009404216
Hurricane Gaming,1183.2171003298872
Globant Emerald Team,1168.8102190039403
RENSGA,1148.7364536175712
MAMMOTH,1122.2825722983423
AXIZ,1120.6083639216192
5 Ronin,1085.760931339592
SEM9,1079.4764766701744
V3 Esports,1072.4852370206809
Gravitas,1016.2456194530992
