Team,ELO
T1,1923.7657001380448
Gen.G,1703.9002451518954
Dplus Kia,1701.6953436600252
Evil Geniuses LG,1643.972809700411
Team Liquid Honda,1584.7308305488502
100 Thieves,1581.4950932026827
Cloud9,1556.3445262435491
Kwangdong Freecs,1527.050783100938
FlyQuest,1518.4436578368473
DRX,1504.600139817322
CLG,1497.446040517379
kt Rolster,1488.7419187031117
OKSavingsBank BRION,1451.5178700441577
Golden Guardians,1442.257055302382
Dignitas,1411.0298718124673
TSM,1401.459667414539
Immortals Progressive,1362.8204474208924
NongShim REDFORCE,1328.493237797433
Liiv SANDBOX,1213.8552917968532
Hanwha Life Esports,1156.3794697902197
