Team,ELO
T1,1923.7657001380448
Team Liquid Honda,1817.0732188771808
Gen.G,1703.9002451518954
Dplus Kia,1701.6953436600252
Evil Geniuses LG,1640.1630751506684
Kwangdong Freecs,1527.050783100938
DRX,1504.600139817322
Cloud9,1499.6199542995068
kt Rolster,1488.7419187031117
Dignitas,1486.645128287992
CLG,1477.4782906406774
100 Thieves,1466.6870452833364
OKSavingsBank BRION,1451.5178700441577
FlyQuest,1447.2993425408047
TSM,1401.459667414539
Golden Guardians,1400.7538300844021
Immortals Progressive,1362.8204474208924
NongShim REDFORCE,1328.493237797433
Liiv SANDBOX,1213.8552917968532
Hanwha Life Esports,1156.3794697902197
