Team,ELO
Royal Never Give Up,2101.7347039960314
Gen.G,1918.800564768005
KOI,1762.7584141629495
100 Thieves,1718.4302480383712
The Chiefs,1717.0552455186685
Evil Geniuses LG,1694.5364039837655
PSG Talon,1687.4235694206272
Liiv SANDBOX,1664.2371972230728
LOUD,1658.0189117622162
CTBC Flying Oyster,1652.3262470815027
G2 Esports,1627.21505172294
Saigon Buffalo Esports,1611.3201315750562
Team Liquid Honda,1605.9114168928622
kt Rolster,1584.383331521973
Pentanet.GG,1578.4205240322276
J Team,1576.0936138340064
Cloud9,1575.024228526999
DenizBank İstanbul Wildcats,1559.9522034666184
T1,1557.8438152852511
Dplus Kia,1557.6816529583753
Fnatic,1557.419486076927
NASR ESPORTS,1540.440332912145
paiN Gaming,1532.6944430543376
Estral Esports,1530.0234439536653
RED Kalunga,1526.4003407330938
DetonatioN FocusMe,1515.834596774912
CLG,1514.8421917759795
Rascal Jester,1507.377670621668
Isurus,1500.1014727019424
Sengoku Gaming,1493.160606914449
MAD Lions,1485.1109623961695
FlyQuest,1484.1726610950072
FURIA,1477.861715152718
Deep Cross Gaming,1468.7904984756212
KaBuM! Esports,1465.642047635247
Misfits Gaming,1457.5742732942615
Beyond Gaming,1452.5134107396366
NongShim REDFORCE,1451.2925464854077
Fenerbahçe Espor,1436.9801172556213
EXCEL,1417.8729007855047
ORDER,1416.9361780838117
SK Gaming,1409.808151664652
Burning Core,1392.749932333674
Team Vitality,1390.9794662624051
Team Aze,1387.5816397180754
OKSavingsBank BRION,1384.2893703178293
Liberty,1381.437283500441
DRX,1378.2978848878624
TSM,1376.0513964853283
Dark Passage,1364.211326872906
Galatasaray Espor,1360.7284452267436
Movistar R7,1358.5246176972769
Frank Esports,1347.202408710292
Papara SuperMassive,1341.1516281017225
INFINITY,1338.648923623298
Astralis,1335.454114319968
Kanga Esports,1307.98450423658
Beşiktaş,1300.2108185725256
Miners,1300.1765687089205
PEACE,1298.1433275122529
Dire Wolves,1296.25624172301
Hanwha Life Esports,1289.65791957154
Flamengo ,1279.4706889787883
Golden Guardians,1275.6928862978746
Impunity Esports,1271.6608135700524
Crest Gaming Act,1264.024132084115
Meta Falcon Team,1263.5878202406216
Fukuoka SoftBank HAWKS gaming,1257.9877908105657
Immortals Progressive,1248.718523260565
Kwangdong Freecs,1244.56303592234
All Knights,1243.034811970563
Team BDS,1242.4797485479476
Dignitas,1240.361381370356
Info Yatırım Aurora,1222.86744900706
INTZ,1202.2995366523232
XTEN Esports,1200.611903238054
GALAKTICOS,1194.8080009404216
AXIZ,1194.422478905885
Hurricane Gaming,1183.2171003298872
Globant Emerald Team,1169.6326889543152
MAMMOTH,1164.3152205141118
RENSGA,1148.7364536175712
SEM9,1104.7035689102506
V3 Esports,1099.042072346691
5 Ronin,1085.760931339592
Gravitas,1016.2456194530992
