Team,ELO
Beijing JDG Intel Esports Club,2046.8577886013984
Gen.G,2012.4642754326242
Suzhou LNG Esports,1933.169185407902
kt Rolster,1860.0579421116822
T1,1797.7003840380967
Bilibili Gaming Pingan Bank,1776.9631674056816
TOP ESPORTS,1711.5873078018171
Hanwha Life Esports,1689.8250085141908
DetonatioN FocusMe,1685.7488947292445
WeiboGaming FAW AUDI,1681.0686431335478
G2 Esports,1676.9612754539123
SHANGHAI EDWARD GAMING HYCAN,1652.3836844576335
Movistar R7,1646.124131875014
FunPlus Phoenix,1645.733235922413
PSG Talon,1641.8710485337042
Invictus Gaming,1639.248068541459
LOUD,1628.410621337712
Frank Esports,1607.3032162268014
CTBC Flying Oyster,1604.8188330159064
THUNDER TALK GAMING,1602.1730921279282
Cloud9,1597.9661262383377
DenizBank İstanbul Wildcats,1584.1829533962623
The Chiefs,1580.8779510417776
Dplus Kia,1571.8001024781156
Oh My God,1565.1411365100564
paiN Gaming,1559.9166703322833
Sengoku Gaming,1557.4843883080573
Team BDS,1546.4513763993325
Deep Cross Gaming,1540.2629023077989
Team Bliss,1537.840086727894
SBTC ESPORTS,1527.9315050001633
GAM Esports,1526.013186008064
Golden Guardians,1523.5338843863206
Shenzhen NINJAS IN PYJAMAS,1523.1408735526516
Fukuoka SoftBank HAWKS gaming,1520.3697494190133
DRX,1511.7619724505337
NongShim REDFORCE,1511.6657909271619
Los Grandes,1511.4873164046542
OKSavingsBank BRION,1510.5199514108008
Royal Never Give Up,1508.3309203182312
Beyond Gaming,1504.7926060334755
FlyQuest,1504.6222827542665
Liiv SANDBOX,1503.5796097482803
Estral Esports,1498.741850246523
MAD Lions,1488.9509942969037
FURIA,1487.407457858889
Impunity Esports,1484.0767737216552
Six Karma,1479.652730422904
RED Kalunga,1460.5169636413282
Misfits Gaming,1457.5742732942615
TEAM WHALES,1453.1046871252256
J Team,1451.153891388254
Fenerbahçe Espor,1436.9801172556213
Evil Geniuses LG,1436.5280564539974
Saigon Buffalo Esports,1429.7085242763249
FUT ESPORTS,1429.4288389390874
Team Vitality,1425.219247196776
INFINITY,1421.5374856215308
Team Liquid Honda,1420.8018926032626
Ultra Prime,1420.347566771585
ORDER,1416.9361780838117
100 Thieves,1415.316424624573
NASR ESPORTS,1409.5716385683425
Pentanet.GG,1405.3236741659796
Isurus,1402.9720272791042
Xi'an Team WE,1400.7433472551952
FLUXO,1399.5676345822133
KaBuM! Esports,1398.8180405854234
CERBERUS ESPORTS,1387.954351762122
FENNEL,1383.8906379001846
TSM,1378.7981010883436
CLG,1376.6735517293364
KOI,1374.4676324889851
Anyone's Legend,1373.5425548016854
Galatasaray Espor,1360.7284452267436
Papara SuperMassive,1357.301669608521
LGD GAMING,1354.320620262909
Vivo Keyd Stars,1339.8039544878
Hell Pigs,1336.8300470633958
Team Flash,1336.4260508743678
Dire Wolves,1329.126416162988
Fnatic,1325.154512656702
Dark Passage,1324.7573759573727
MAMMOTH,1323.4988329066332
Rascal Jester,1322.2616566255408
Beşiktaş,1320.9019344278138
PEACE,1312.8738048602363
Astralis,1308.842286729668
Rare Atom,1300.844703187072
Miners,1300.1765687089205
Liberty,1299.897799336405
The Kings,1296.4060135531054
INTZ,1289.24308992551
XTEN Esports,1284.8848233172891
Flamengo ,1279.4706889787883
Team Secret,1278.5804799454652
SK Gaming,1268.0517117213856
Burning Core,1267.4827982647173
Team Heretics,1267.0703145805537
Incubus,1265.727079920765
West Point Esports,1260.0679303649054
Meta Falcon Team,1258.1833981016007
Immortals Progressive,1244.8625580427145
Vertex ESC,1243.8551777360883
Team Aze,1229.6123026587316
AXIZ,1227.602959954469
Kwangdong Freecs,1224.8342254732886
Info Yatırım Aurora,1222.86744900706
Dignitas,1186.8089275602213
Leviatán Esports,1185.7452584559437
Dewish Team,1183.63628746553
Hurricane Gaming,1183.2171003298872
EXCEL,1181.888562158815
MGN Box Esports,1176.965305631297
Ground Zero,1172.7295341623671
GALAKTICOS,1171.9043251727403
All Knights,1170.46350946377
Globant Emerald Team,1168.8102190039403
RENSGA,1148.7364536175712
Crest Gaming Act,1144.3278448347426
Kanga Esports,1125.0306606433296
SEM9,1079.4764766701744
5 Ronin,1032.01476521153
Gravitas,1016.2456194530992
V3 Esports,982.999176683885
