Team,ELO
G2 Esports,1935.721411250262
T1,1923.7657001380448
Team Liquid Honda,1817.0732188771808
Gen.G,1703.9002451518954
Dplus Kia,1701.6953436600252
KOI,1699.6117806064694
Evil Geniuses LG,1640.1630751506684
Fnatic,1544.4702689072446
Kwangdong Freecs,1527.050783100938
SK Gaming,1520.717667362147
KaBuM! Esports,1520.0643809913936
DRX,1504.600139817322
Cloud9,1499.6199542995068
kt Rolster,1488.7419187031117
Dignitas,1486.645128287992
FURIA,1482.5313411248055
MAD Lions,1479.756397615226
CLG,1477.4782906406774
100 Thieves,1466.6870452833364
paiN Gaming,1462.1285342932495
OKSavingsBank BRION,1451.5178700441577
Misfits Gaming,1448.9100797379735
FlyQuest,1447.299342540805
Team Vitality,1433.914853690764
LOUD,1430.9204238858147
Miners,1430.3987287510802
RED Kalunga,1418.7889070679985
EXCEL,1403.7363896490824
Liberty,1402.507299581218
TSM,1401.459667414539
Golden Guardians,1400.753830084402
Immortals Progressive,1362.8204474208924
RENSGA,1347.0147890943306
NongShim REDFORCE,1328.493237797433
Flamengo ,1282.0386789654458
Astralis,1275.487018118832
Team BDS,1257.674133061999
INTZ,1223.6069162446638
Liiv SANDBOX,1213.8552917968532
Hanwha Life Esports,1156.3794697902197
