Team,ELO
Gen.G,2016.6966679740008
T1,1932.3488999254903
Beijing JDG Intel Esports Club,1872.2282584850327
DetonatioN FocusMe,1851.8287697278856
kt Rolster,1791.6375220008874
Cloud9,1759.10985048803
Hanwha Life Esports,1707.5915914020577
LOUD,1706.6837015695385
TOP ESPORTS,1694.806347849746
G2 Esports,1674.5730212917788
PSG Talon,1643.7752206218895
Dplus Kia,1639.9021047206386
CTBC Flying Oyster,1635.0839356594536
Royal Never Give Up,1629.4490660313718
Golden Guardians,1599.6458772550643
DenizBank İstanbul Wildcats,1584.1829533962625
Liiv SANDBOX,1583.1110321760063
Saigon Buffalo Esports,1580.016735542507
Kwangdong Freecs,1574.548478758172
paiN Gaming,1559.9166703322833
Deep Cross Gaming,1553.9140672047563
The Chiefs,1548.273049310826
GAM Esports,1544.5106713916505
Beyond Gaming,1536.6249670221662
Sengoku Gaming,1533.71081602866
SHANGHAI EDWARD GAMING HYCAN,1517.1905130591574
Los Grandes,1511.4873164046542
Six Karma,1507.2044400714371
FlyQuest,1504.6222827542665
Team Bliss,1499.7357628898787
MAD Lions,1493.3527965835842
J Team,1492.5968704312986
FURIA,1487.407457858889
Movistar R7,1482.0603727608966
Pentanet.GG,1479.109474621238
SK Gaming,1477.382534436451
RED Kalunga,1460.5169636413282
Misfits Gaming,1457.5742732942615
Estral Esports,1457.1553625476372
Fukuoka SoftBank HAWKS gaming,1447.176612227068
DRX,1438.598249334609
Fenerbahçe Espor,1436.9801172556213
INFINITY,1436.5810923150084
Evil Geniuses LG,1436.5280564539974
Frank Esports,1430.9967841411371
FUT ESPORTS,1429.4288389390874
Team Liquid Honda,1420.8018926032626
KOI,1420.1839441434065
NongShim REDFORCE,1419.921872502918
ORDER,1416.9361780838117
100 Thieves,1415.316424624573
Isurus,1411.2060056627713
NASR ESPORTS,1409.5716385683425
FLUXO,1399.5676345822133
KaBuM! Esports,1398.8180405854234
Dire Wolves,1386.8695396906514
TSM,1378.7981010883436
CLG,1376.6735517293364
Galatasaray Espor,1360.7284452267436
Team Vitality,1360.5532363924729
Papara SuperMassive,1357.301669608521
Team Heretics,1345.2780043358462
Vivo Keyd Stars,1339.8039544878
Astralis,1329.3016617289577
Dark Passage,1324.7573759573727
OKSavingsBank BRION,1323.3917659436484
Rascal Jester,1322.2616566255408
Beşiktaş,1320.9019344278138
PEACE,1312.8738048602363
Ground Zero,1307.087382409391
Miners,1300.1765687089205
Liberty,1299.897799336405
The Kings,1296.4060135531054
INTZ,1289.24308992551
XTEN Esports,1284.8848233172891
Team BDS,1284.2295514604405
Flamengo ,1279.4706889787883
Incubus,1265.727079920765
Burning Core,1261.5281924751737
Meta Falcon Team,1258.1833981016007
Crest Gaming Act,1249.1991938760875
All Knights,1245.4542399662075
Immortals Progressive,1244.8625580427145
Fnatic,1244.6011118132287
Impunity Esports,1238.8667657691142
Kanga Esports,1227.6886654107868
Info Yatırım Aurora,1222.86744900706
EXCEL,1216.331134125256
Dewish Team,1198.5515039116112
Team Aze,1192.4779479830715
Dignitas,1186.8089275602213
Hurricane Gaming,1183.2171003298872
GALAKTICOS,1171.9043251727403
Globant Emerald Team,1168.8102190039403
RENSGA,1148.7364536175712
MAMMOTH,1122.2825722983423
AXIZ,1120.6083639216192
SEM9,1079.4764766701744
V3 Esports,1072.4852370206809
5 Ronin,1032.01476521153
Gravitas,1016.2456194530992
