Team,ELO
G2 Esports,1935.721411250262
T1,1923.7657001380448
Evil Geniuses LG,1901.8569926314965
Gen.G,1703.9002451518954
Dplus Kia,1701.6953436600252
KOI,1699.6117806064694
100 Thieves,1678.7286553087306
Team Liquid Honda,1570.0762122118715
DenizBank İstanbul Wildcats,1567.9373491668955
RED Kalunga,1553.32780289357
ORDER,1553.1765509251793
Fnatic,1544.4702689072446
The Chiefs,1541.8808783476195
DetonatioN FocusMe,1540.5169300478549
paiN Gaming,1536.575028834555
Kwangdong Freecs,1527.050783100938
SK Gaming,1520.717667362147
Cloud9,1510.758956240058
Team Aze,1508.5228897222944
Pentanet.GG,1507.9426436765282
Sengoku Gaming,1505.5492635283294
DRX,1504.600139817322
Rascal Jester,1502.3094977670269
kt Rolster,1488.7419187031117
MAD Lions,1479.756397615226
NASR ESPORTS,1477.9405240072465
Dignitas,1465.5251277010932
OKSavingsBank BRION,1451.5178700441577
Misfits Gaming,1448.9100797379735
Team Vitality,1433.914853690764
Estral Esports,1432.629767287621
LOUD,1430.920423885815
Movistar R7,1426.1618741326156
KaBuM! Esports,1424.8205245497163
FURIA,1417.626935116774
TSM,1415.5779695510794
Liberty,1414.389722831154
FlyQuest,1408.8309643739208
EXCEL,1403.7363896490824
Isurus,1382.5177922453524
Galatasaray Espor,1382.246937065473
Fenerbahçe Espor,1373.6940286481968
Golden Guardians,1371.7108921601025
Burning Core,1371.118725227599
Miners,1369.6791775839756
CLG,1361.8141793103823
RENSGA,1347.0147890943306
PEACE,1343.4253655682924
NongShim REDFORCE,1328.493237797433
5 Ronin,1326.9333853471378
Info Yatırım Aurora,1325.0003596983993
Immortals Progressive,1315.1200505112645
Papara SuperMassive,1314.4618057409093
Dire Wolves,1308.188272849548
Crest Gaming Act,1295.9707212515898
Fukuoka SoftBank HAWKS gaming,1291.070310925024
Flamengo ,1282.0386789654458
XTEN Esports,1280.2584527846216
Astralis,1275.487018118832
Beşiktaş,1274.858956939065
Dark Passage,1266.8233023723217
All Knights,1262.2208504993323
INFINITY,1258.521044562241
Team BDS,1257.674133061999
Globant Emerald Team,1249.1673287659216
Kanga Esports,1247.0587327469225
INTZ,1223.6069162446638
Liiv SANDBOX,1213.8552917968532
AXIZ,1194.422478905885
MAMMOTH,1191.039212229713
GALAKTICOS,1190.1033510143552
Gravitas,1157.2883436561972
Hanwha Life Esports,1156.3794697902197
V3 Esports,1099.042072346691
