league_id,tournament_id,tournament_slug,game_date
98767991310872058,107418445247362001,lck_spring_2022,2022-01-12
98767991299243165,107458335260330212,lcs_lock_in_2022,2022-01-14
98767991302996019,107417059262120466,lec_spring_2022,2022-01-14
98767991332355509,107405837336179496,cblol_split_1_2022,2022-01-22
98767991343597634,107566408953200568,tcl_winter_2022,2022-01-22
105709090213554609,107439320897210747,lco_split_1_2022,2022-01-24
101382741235120470,107530554766055254,lla_opening_2022,2022-01-29
98767991299243165,107458367237283414,lcs_spring_2022,2022-02-05
98767991349978712,107455808271204256,ljl_spring_2022,2022-02-11
104366947889790212,107693721179065689,pcs_spring_2022,2022-02-11
98767991325878492,107905284983470149,msi_2022,2022-05-10
105709090213554609,108197674522551242,lco_split_2_2022,2022-06-06
98767991332355509,108211865716506571,cblol_split_2_2022,2022-06-11
98767991343597634,108197589213750000,tcl_summer_2022,2022-06-11
101382741235120470,108197521933954516,lla_closing_2022,2022-06-11
98767991310872058,108195478954601542,lck_summer_2022,2022-06-15
98767991302996019,108176672283976661,lec_summer_2022,2022-06-17
98767991299243165,108206581962155974,lcs_summer_2022,2022-06-17
98767991349978712,108231751506773283,ljl_summer_2022,2022-06-24
104366947889790212,108166997301178190,pcs_summer_2022,2022-07-01
98767991310872058,108797577868041021,lck_regional_finals_2022,2022-09-01
101382741235120470,108916413227302339,lla_promotion_2022,2022-09-10
98767975604431411,108998961191900167,worlds_2022,2022-09-29
98767991310872058,109625152894842837,lck_spring_2023,2023-01-18
98767991302996019,109466537705744120,lec_winter_2023,2023-01-21
98767991332355509,109523641416750631,cblol_2023_split_1,2023-01-21
105709090213554609,109675619694467439,lco_split_1_2023,2023-01-23
101382741235120470,109672513958565698,lla_opening_2023,2023-01-24
98767991299243165,109517090066605615,lcs_spring_2023,2023-01-26
98767991343597634,109467188125028146,tcl_spring_2023,2023-01-26
98767991349978712,109710208772220245,ljl_spring_2023,2023-01-28
104366947889790212,109704924270305512,pcs_spring_2023,2023-02-03
107213827295848783,109749565997987636,vcs_spring_2023,2023-02-24
98767991302996019,109919226376366902,lec_spring_2023,2023-03-11
104366947889790212,110017385374098523,pcs_spring_playoffs_2023,2023-03-23
98767991325878492,110198981276611770,msi_2023,2023-05-02
98767991314006698,110428848766564346,lpl_summer_2023,2023-05-29
105709090213554609,109675608880518030,lco_split_2_2023,2023-06-05
101382741235120470,110411420269584926,lla_closing_2023,2023-06-06
98767991310872058,110371551277508787,lck_summer_2023,2023-06-07
98767991332355509,110413046183015975,cblol_2023_split_2,2023-06-10
98767991349978712,110395308894756789,ljl_summer_2023,2023-06-10
98767991343597634,110429898578299667,tcl_summer_2023,2023-06-14
98767991299243165,110303581083678395,lcs_summer_2023,2023-06-14
98767991302996019,110429332688604205,lec_summer_2023,2023-06-17
107213827295848783,110416959491275651,vcs_summer_2023,2023-06-23
104366947889790212,110423696147088301,pcs_summer_2023,2023-06-30
98767991314006698,110825936250664572,lpl_regional_finals_2023,2023-08-06
104366947889790212,110847340080101648,pcs_summer_playoffs_2023,2023-08-11
98767991302996019,110848560874526298,lec_season_finals_2023,2023-08-19
