"id","name","slug","region","tournaments"
"98767991299243165","LCS","lcs","NORTH AMERICA","[{id=110303581083678395}, {id=109517090066605615}, {id=108206581962155974}, {id=107458367237283414}, {id=107458335260330212}, {id=105658534671026792}, {id=105788932118361426}, {id=109428868589633757}, {id=105522217230238828}, {id=104174992692075107}, {id=103462439438682788}, {id=108300620375000370}, {id=108294935083112239}, {id=108288780705657082}, {id=108283378783680768}, {id=108007809203463350}, {id=107784927885285215}, {id=107744640257699883}, {id=106972812538132507}, {id=107741488941545959}, {id=107045060626269295}, {id=107719921883398026}, {id=107697401518332544}, {id=107656643139734824}, {id=107620592294752774}]"
"109511549831443335","LCS Challengers","north_american_challenger_league","NORTH AMERICA","[{id=110574243270525539}, {id=109518697660746274}]"
"109518549825754242","LCS Challengers Qualifiers","lcs_challengers_qualifiers","NORTH AMERICA","[{id=110894544221659776}, {id=110733838935136200}, {id=110428603624764603}, {id=110138704782649096}, {id=109974742840567627}, {id=109518742310926152}]"
"107898214974993351","College Championship","college_championship","NORTH AMERICA","[{id=107898708099217418}]"
"98767991332355509","CBLOL","cblol-brazil","BRAZIL","[{id=110413046183015975}, {id=109523641416750631}, {id=108211865716506571}, {id=107405837336179496}, {id=106297375705058741}, {id=105539760572983266}, {id=104202471497759152}, {id=103478354329449186}, {id=102147202571739078}, {id=101383793244817602}, {id=100205576338370838}, {id=99566408235138456}]"
"98767991310872058","LCK","lck","KOREA","[{id=110909366079472439}, {id=110371551277508787}, {id=109625152894842837}, {id=108797577868041021}, {id=108195478954601542}, {id=107418445247362001}, {id=106840590962292347}, {id=106269654659501670}, {id=105522984810490982}, {id=104174613295388764}, {id=103540363364808496}, {id=102181142473043418}, {id=109478595377766234}, {id=109473592653126678}, {id=101388913417992988}, {id=100205573522838487}, {id=109472224539377660}, {id=109468403671242972}, {id=99566404601075616}, {id=109467297671986286}, {id=109462843692030951}, {id=109461739707114350}, {id=109461292917902160}, {id=109445541215037058}, {id=109444869705769128}, {id=109441091720628455}, {id=109440642555058105}, {id=109440320603801592}, {id=109434488623686609}, {id=109434103072103929}, {id=109433362199747894}, {id=109479322498002624}]"
"98767991355908944","LCL","lcl","COMMONWEALTH OF INDEPENDENT STATES","[{id=107417471555810057}, {id=106269769724268826}, {id=105663539171928276}, {id=110429321464170890}, {id=110412360196989975}, {id=110435858786009956}, {id=110435531035300377}, {id=110441433278896011}, {id=110441119491168485}, {id=110452684391414465}, {id=110446876240436729}, {id=110458354672238716}, {id=110453006238802559}]"
"105709090213554609","LCO","lco","OCEANIA","[{id=109675608880518030}, {id=109675619694467439}, {id=108197674522551242}, {id=107439320897210747}, {id=106273204408903419}, {id=105747961298296953}, {id=109639302112483684}, {id=109632411128070811}]"
"98767991302996019","LEC","lec","EMEA","[{id=110848560874526298}, {id=110429332688604205}, {id=109919226376366902}, {id=109466537705744120}, {id=108176672283976661}, {id=107417059262120466}, {id=106269680921022418}, {id=105522958532258735}, {id=104169295253189561}, {id=103462459318635408}, {id=109427822736905228}, {id=102147201778412187}, {id=109427411147317375}, {id=101383793622305540}, {id=109423067696022268}, {id=100205575629449176}, {id=109421587469439501}, {id=99322214712278618}, {id=109407348769591764}, {id=109188748532737193}, {id=109189749746037163}, {id=109188863217118371}, {id=109218068328726599}, {id=109212709764395955}, {id=109229629611154474}, {id=109218949924663566}, {id=109349946712116171}, {id=109274702204084948}]"
"98767991349978712","LJL","ljl-japan","JAPAN","[{id=110395308894756789}, {id=109710208772220245}, {id=108231751506773283}, {id=107455808271204256}, {id=106269757536651711}, {id=105562833911566614}, {id=104169308670244006}, {id=103540397353089204}, {id=102147204088046087}, {id=101428372650853326}, {id=109055718152043307}, {id=109054419919088344}, {id=109031138017871490}, {id=109030936392726416}, {id=109030266425341631}, {id=109030099487086096}]"
